,Player,link_of_player
98,Diego,https://fbref.com/en/players/fc4f85b1/intl_cup/Diego-Godin-International-Cup-Stats
99,Miroslav Klose,https://fbref.com/en/players/5e36a0dd/intl_cup/Miroslav-Klose-International-Cup-Stats
100,Florent Malouda,https://fbref.com/en/players/6fe6d820/intl_cup/Florent-Malouda-International-Cup-Stats
101,Shunsuke Nakamura,https://fbref.com/en/players/72987abc/intl_cup/Shunsuke-Nakamura-International-Cup-Stats
102,Ricardo Quaresma,https://fbref.com/en/players/6b6d252d/intl_cup/Ricardo-Quaresma-International-Cup-Stats
103,Raúl,https://fbref.com/en/players/2b81295d/intl_cup/Raul-International-Cup-Stats
104,Paul Scholes,https://fbref.com/en/players/24a3a72c/intl_cup/Paul-Scholes-International-Cup-Stats
105,Luca Toni,https://fbref.com/en/players/dd74033b/intl_cup/Luca-Toni-International-Cup-Stats
106,Kolo Touré,https://fbref.com/en/players/3301c9f4/intl_cup/Kolo-Toure-International-Cup-Stats
107,Fernando Torres,https://fbref.com/en/players/bdf7b97d/intl_cup/Fernando-Torres-International-Cup-Stats
108,David Villa,https://fbref.com/en/players/ade08a67/intl_cup/David-Villa-International-Cup-Stats
123,Paulo Dybala,https://fbref.com/en/players/e0921a4f/intl_cup/Paulo-Dybala-International-Cup-Stats
125,Toni Kroos,https://fbref.com/en/players/6ce1f46f/intl_cup/Toni-Kroos-International-Cup-Stats
128,David de Gea,https://fbref.com/en/players/7ba6d84e/intl_cup/David-de-Gea-International-Cup-Stats
130,Leonardo Bonucci,https://fbref.com/en/players/52ec54d0/intl_cup/Leonardo-Bonucci-International-Cup-Stats
132,Radamel Falcao,https://fbref.com/en/players/66116290/intl_cup/Radamel-Falcao-International-Cup-Stats
135,Mats Hummels,https://fbref.com/en/players/05d548d8/intl_cup/Mats-Hummels-International-Cup-Stats
136,Edin Džeko,https://fbref.com/en/players/3bb7f478/intl_cup/Edin-Dzeko-International-Cup-Stats
137,Philippe Coutinho,https://fbref.com/en/players/0ef89a37/intl_cup/Philippe-Coutinho-International-Cup-Stats
138,Dries Mertens,https://fbref.com/en/players/89b2c8a9/intl_cup/Dries-Mertens-International-Cup-Stats
146,Jamie Vardy,https://fbref.com/en/players/45963054/intl_cup/Jamie-Vardy-International-Cup-Stats
148,Pepe,https://fbref.com/en/players/e358587b/intl_cup/Pepe-Reina-International-Cup-Stats
150,Rui Patrício,https://fbref.com/en/players/79b0d6a0/intl_cup/Rui-Patricio-International-Cup-Stats
153,Arturo Vidal,https://fbref.com/en/players/67cdbc0e/intl_cup/Arturo-Vidal-International-Cup-Stats
157,Dimitri Payet,https://fbref.com/en/players/58ae47b2/intl_cup/Dimitri-Payet-International-Cup-Stats
162,Gonzalo Higuaín,https://fbref.com/en/players/8a08491a/intl_cup/Gonzalo-Higuain-International-Cup-Stats
163,Andrés Iniesta,https://fbref.com/en/players/cfd65a29/intl_cup/Andres-Iniesta-International-Cup-Stats
164,Koke,https://fbref.com/en/players/55126f3b/intl_cup/Koke-International-Cup-Stats
166,Thomas Müller,https://fbref.com/en/players/3c6089ab/intl_cup/Thomas-Muller-International-Cup-Stats
167,Manuel Neuer,https://fbref.com/en/players/8778c910/intl_cup/Manuel-Neuer-International-Cup-Stats
173,Xavi,https://fbref.com/en/players/c1b4188c/intl_cup/Xavi-International-Cup-Stats
174,Andrey Arshavin,https://fbref.com/en/players/8fd1ea1f/intl_cup/Andrey-Arshavin-International-Cup-Stats
179,Marcos Senna,https://fbref.com/en/players/ad6cbdbe/intl_cup/Marcos-Senna-International-Cup-Stats
180,Emmanuel Adebayor,https://fbref.com/en/players/936d9e3e/intl_cup/Emmanuel-Adebayor-International-Cup-Stats
183,Frank Lampard,https://fbref.com/en/players/268df6b1/intl_cup/Frank-Lampard-International-Cup-Stats
187,Michael Ballack,https://fbref.com/en/players/9d1b8b6b/intl_cup/Michael-Ballack-International-Cup-Stats
191,Nemanja Vidić,https://fbref.com/en/players/4b30b37e/intl_cup/Nemanja-Vidic-International-Cup-Stats
192,Edwin van der Sar,https://fbref.com/en/players/98ee8a67/intl_cup/Edwin-van-der-Sar-International-Cup-Stats
197,Rafael van der Vaart,https://fbref.com/en/players/41473b67/intl_cup/Rafael-van-der-Vaart-International-Cup-Stats
198,Yuri Zhirkov,https://fbref.com/en/players/ed2b33cb/intl_cup/Yuri-Zhirkov-International-Cup-Stats
214,Luís Fabiano,https://fbref.com/en/players/eaaeef7b/intl_cup/Luis-Fabiano-International-Cup-Stats
217,Diego Forlán,https://fbref.com/en/players/d87d0dfc/intl_cup/Diego-Forlan-International-Cup-Stats
218,Yoann Gourcuff,https://fbref.com/en/players/3acddfdd/intl_cup/Yoann-Gourcuff-International-Cup-Stats
220,Júlio César,https://fbref.com/en/players/f619413f/intl_cup/Julio-Cesar-International-Cup-Stats
222,Maicon,https://fbref.com/en/players/fbc5d136/intl_cup/Maicon-Sisenando-International-Cup-Stats
225,John Terry,https://fbref.com/en/players/68517cfd/intl_cup/John-Terry-International-Cup-Stats
227,Yaya Touré,https://fbref.com/en/players/c204f844/intl_cup/Yaya-Toure-International-Cup-Stats
229,Arjen Robben,https://fbref.com/en/players/09586899/intl_cup/Arjen-Robben-International-Cup-Stats
231,Philipp Lahm,https://fbref.com/en/players/de491a33/intl_cup/Philipp-Lahm-International-Cup-Stats
233,James Rodríguez,https://fbref.com/en/players/715bf047/intl_cup/James-Rodriguez-International-Cup-Stats
235,Ángel Di María,https://fbref.com/en/players/19cda00b/intl_cup/Angel-Di-Maria-International-Cup-Stats
236,Diego Costa,https://fbref.com/en/players/a190d597/intl_cup/Diego-Costa-International-Cup-Stats
240,Mario Götze,https://fbref.com/en/players/9efa1d25/intl_cup/Mario-Gotze-International-Cup-Stats
243,Bastian Schweinsteiger,https://fbref.com/en/players/ccc22fea/intl_cup/Bastian-Schweinsteiger-International-Cup-Stats
244,Javier Mascherano,https://fbref.com/en/players/5070881b/intl_cup/Javier-Mascherano-International-Cup-Stats
246,David Luiz,https://fbref.com/en/players/c0e27d1a/intl_cup/David-Luiz-International-Cup-Stats
255,Alexis Sánchez,https://fbref.com/en/players/2c0f8e9e/intl_cup/Alexis-Sanchez-International-Cup-Stats
284,Mesut Özil,https://fbref.com/en/players/16380240/intl_cup/Mesut-Ozil-International-Cup-Stats
289,Thiago Silva,https://fbref.com/en/players/86e7deaf/intl_cup/Thiago-Silva-International-Cup-Stats
302,Xabi Alonso,https://fbref.com/en/players/dc001a06/intl_cup/Xabi-Alonso-International-Cup-Stats
311,Sergio Busquets,https://fbref.com/en/players/5ab0ea87/intl_cup/Sergio-Busquets-International-Cup-Stats
312,Gerard Piqué,https://fbref.com/en/players/adfc9123/intl_cup/Gerard-Pique-International-Cup-Stats
314,Mario Balotelli,https://fbref.com/en/players/8ff07990/intl_cup/Mario-Balotelli-International-Cup-Stats
326,Wesley Sneijder,https://fbref.com/en/players/ad625c12/intl_cup/Wesley-Sneijder-International-Cup-Stats
336,Nani,https://fbref.com/en/players/15e9c7e6/intl_cup/Nani-International-Cup-Stats
348,Carles Puyol,https://fbref.com/en/players/7c0bda9b/intl_cup/Carles-Puyol-International-Cup-Stats
